1,1,Saquon Barkley,RB1,11,NYG,0#
2,2,Alvin Kamara,RB3,9,NO,1#
3,3,Christian McCaffrey,RB2,7,CAR,-1#
6,4,DeAndre Hopkins,WR1,10,HOU,-2#
7,5,Davante Adams,WR2,11,GB,-2#
5,6,David Johnson,RB5,12,ARI,2#
9,7,Julio Jones,WR3,9,ATL,-6#
15,8,Travis Kelce,TE1,12,KC,1#
4,9,Ezekiel Elliott,RB4,8,DAL,2#
12,10,Michael Thomas,WR4,9,NO,-1,#
10,11,Odell Beckham Jr.,WR5,7,CLE,-5,#
19,12,JuJu Smith-Schuster,WR6,7,PIT,2,#
17,13,James Conner,RB6,7,PIT,-5,#
18,14,Nick Chubb,RB8,7,CLE,6,#
8,15,Le'Veon Bell,RB7,4,NYJ,-7,#
11,16,Tyreek Hill,WR7,12,KC,-3,#
14,17,Todd Gurley,RB11,9,LAR,-7,#
22,18,Dalvin Cook,RB9,12,MIN,4,#
13,19,Mike Evans,WR8,7,TB,3,#
16,20,Joe Mixon,RB10,9,CIN,7,#
29,21,George Kittle,TE2,4,SF,-9,#
27,22,Keenan Allen,WR9,12,LAC,-2,#
20,23,Antonio Brown,WR10,6,OAK,5,#
37,24,Adam Thielen,WR11,12,MIN,-23,#
40,25,Stefon Diggs,WR12,12,MIN,-14,#
35,26,Damien Williams,RB12,12,KC,-1,#
30,27,Zach Ertz,TE3,10,PHI,-7,#
26,28,Kerryon Johnson,RB13,5,DET,7,#
21,29,Amari Cooper,WR13,8,DAL,-6,#
32,30,Leonard Fournette,RB14,10,JAC,5,#
33,31,Aaron Jones,RB15,11,GB,-1,#
36,32,Julian Edelman,WR14,10,NE,3,#
24,33,Devonta Freeman,RB16,9,ATL,3,#
28,34,Brandin Cooks,WR15,9,LAR,-16,#
38,35,Robert Woods,WR16,9,LAR,9,#
47,36,Chris Godwin,WR17,7,TB,4,#
43,37,Patrick Mahomes,QB1,12,KC,14,#
31,38,Chris Carson,RB17,11,SEA,3,#
25,39,Josh Jacobs,RB18,6,OAK,-1,#
